id,match,date,team_a,team_b,pucking_team,half,minute,score_puck_goals,score_puck_points,score_opp_goals,score_opp_points,score_diff,type,delivery,target_zone,retained,next_action,notes,retained_bool,match_label,opposition,t1_team,t1_action,t2_team,t2_action,t3_team,t3_action,shot_outcome
107,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,32,0,14,3,8,-3,short,C,DL,yes,pass,,True,2025_AISF,Tipperary,A,launch,A,turnover,B,pass,
108,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,34,3,8,0,15,2,short,C,DL,yes,pass,,True,2025_AISF,Kilkenny,B,pass,B,carry,B,pass,
109,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,34,0,15,3,9,-3,long,B,AL,no,pass,,False,2025_AISF,Tipperary,B,carry,B,shot,B,,point
110,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,35,0,15,3,10,-4,short,C,DL,yes,pass,,True,2025_AISF,Tipperary,A,pass,A,shot,A,,
111,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,35,3,10,0,15,4,short,C,DC,yes,pass,,True,2025_AISF,Kilkenny,B,launch,B,shot,B,,
112,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,36,0,15,3,11,-5,short,C,DR,yes,unknown,,True,2025_AISF,Tipperary,A,launch,A,pass,A,pass,
113,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,37,3,11,0,17,3,medium,B,MR,no,carry,,False,2025_AISF,Kilkenny,A,pass,A,carry,A,turnover,
114,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,38,0,17,3,12,-4,short,C,DC,yes,carry,,True,2025_AISF,Tipperary,A,pass,A,pass,A,carry,
115,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,39,3,12,0,18,3,medium,C,ML,yes,carry,,True,2025_AISF,Kilkenny,B,pass,B,turnover,A,pass,
116,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,39,3,12,0,19,2,long,T,AR,no,pass,,False,2025_AISF,Kilkenny,A,carry,A,pass,A,launch,
117,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,41,0,19,3,12,-2,long,B,AC,no,carry,,False,2025_AISF,Tipperary,B,foul-won,A,,A,,
118,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,42,0,19,3,12,-2,long,T,AL,no,pass,,False,2025_AISF,Tipperary,B,launch,B,pass,B,pass,
119,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,42,0,19,3,12,-2,medium,C,ML,yes,pass,,True,2025_AISF,Tipperary,A,turnover,B,pass,B,carry,
120,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,43,0,19,3,12,-2,long,B,AL,no,pass,,False,2025_AISF,Tipperary,B,launch,B,turnover,A,pass,
121,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,44,0,19,3,13,-3,medium,P,ML,yes,pass,,True,2025_AISF,Tipperary,A,carry,A,pass,A,pass,
122,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,45,3,13,0,20,2,short,C,DL,yes,carry,,True,2025_AISF,Kilkenny,B,pass,B,carry,B,pass,
123,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,46,0,20,3,14,-3,long,B,AR,yes,carry,,True,2025_AISF,Tipperary,A,shot,A,,A,,point
124,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,47,3,14,0,21,2,long,B,AL,no,foul-won,,False,2025_AISF,Kilkenny,B,shot,B,,B,,
125,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,48,0,21,3,14,-2,short,C,DL,yes,pass,,True,2025_AISF,Tipperary,A,pass,A,pass,A,shot,point
126,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,48,3,14,0,22,1,long,B,AL,no,turnover,,False,2025_AISF,Kilkenny,A,shot,A,,A,,point
127,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,51,3,14,0,23,0,long,B,AC,no,pass,,False,2025_AISF,Kilkenny,A,launch,A,carry,A,turnover,
128,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,53,3,14,0,24,-1,long,B,AL,yes,carry,,True,2025_AISF,Kilkenny,B,foul-won,B,shot,B,,
129,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,55,0,24,3,15,0,medium,B,MR,yes,unknown,,True,2025_AISF,Tipperary,A,carry,A,foul-won,A,shot,point
130,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,56,3,15,0,25,-1,short,C,DL,yes,pass,,True,2025_AISF,Kilkenny,B,turnover,A,turnover,B,foul-won,
131,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,57,0,25,3,16,0,short,C,DC,yes,pass,,True,2025_AISF,Tipperary,A,carry,A,pass,A,turnover,
132,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,58,3,16,0,26,-1,long,T,AR,no,pass,,False,2025_AISF,Kilkenny,A,pass,A,foul-won,A,launch,
133,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,60,0,26,3,17,0,short,C,DC,yes,carry,,True,2025_AISF,Tipperary,A,launch,A,turnover,B,pass,
134,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,61,3,17,0,26,0,short,C,DC,yes,pass,,True,2025_AISF,Kilkenny,B,turnover,A,pass,A,shot,point
135,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,62,0,27,3,17,1,medium,C,MR,yes,pass,,True,2025_AISF,Tipperary,B,launch,B,turnover,A,foul-won,
136,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,63,3,17,0,28,-2,long,T,AR,no,pass,,False,2025_AISF,Kilkenny,A,carry,A,pass,A,pass,
137,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,66,0,28,3,18,1,short,C,DC,yes,carry,,True,2025_AISF,Tipperary,A,launch,A,turnover,B,pass,
138,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,67,0,28,3,19,0,long,B,AR,no,pass,,False,2025_AISF,Tipperary,B,turnover,A,turnover,B,pass,
139,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,68,0,28,3,20,-1,long,B,AC,yes,pass,,True,2025_AISF,Tipperary,A,shot,A,,A,,point
140,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,2,69,3,20,0,29,0,short,C,DL,yes,carry,,True,2025_AISF,Kilkenny,B,launch,B,turnover,A,carry,
141,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,70,0,29,4,20,-3,short,C,DC,yes,pass,,True,2025_AISF,Tipperary,A,turnover,B,pass,B,carry,
142,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,2,71,0,30,4,21,-3,short,unknown,DC,yes,carry,,True,2025_AISF,Tipperary,A,pass,A,carry,A,launch,
